module_name,transformer_layer,module_type,feature_dim,k,minimum,median,mean,maximum,q90,q95,q98,q99,q99_5,maximum_over_median,existing_topk_boundary,existing_topk_concentration,count_ge_1_2x_median,fraction_ge_1_2x_median,count_ge_1_5x_median,fraction_ge_1_5x_median,count_ge_2x_median,fraction_ge_2x_median,count_ge_3x_median,fraction_ge_3x_median,count_ge_4x_median,fraction_ge_4x_median,count_ge_8x_median,fraction_ge_8x_median,count_ge_16x_median,fraction_ge_16x_median
model.layers.25.mlp.down_proj,25,mlp.down_proj,5120,80,2.596689462661743,3.7414839267730713,3.9685559272766113,208.68112182617188,4.633124828338623,5.009212017059326,5.445051193237305,5.7422566413879395,6.0517897605896,55.774961461922864,5.5285563468933105,0.03720363602042198,708,0.13828125,69,0.0134765625,12,0.00234375,5,0.0009765625,3,0.0005859375,2,0.000390625,1,0.0001953125
model.layers.25.self_attn.o_proj,25,self_attn.o_proj,5120,80,0.9070316553115845,1.4808542728424072,1.5309240818023682,23.94979476928711,1.7130546569824219,1.828277349472046,2.06246280670166,2.3708486557006836,2.714728593826294,16.172958547309975,2.1910455226898193,0.03157413378357887,342,0.066796875,74,0.014453125,16,0.003125,3,0.0005859375,3,0.0005859375,2,0.000390625,1,0.0001953125
model.layers.26.mlp.down_proj,26,mlp.down_proj,5120,80,1.6925129890441895,3.5741562843322754,3.5906646251678467,23.81865692138672,3.7232415676116943,3.7909512519836426,3.898207426071167,4.102502822875977,4.37746524810791,6.664134141475161,3.9444565773010254,0.020362649112939835,33,0.0064453125,3,0.0005859375,2,0.000390625,2,0.000390625,2,0.000390625,0,0.0,0,0.0
model.layers.26.self_attn.o_proj,26,self_attn.o_proj,5120,80,0.9222449660301208,1.536378026008606,1.547227382659912,9.477188110351562,1.6601336002349854,1.7013895511627197,1.7614690065383911,1.7909435033798218,1.822001576423645,6.168526202481938,1.772646427154541,0.019763551652431488,15,0.0029296875,3,0.0005859375,2,0.000390625,2,0.000390625,1,0.0001953125,0,0.0,0,0.0
model.layers.27.mlp.down_proj,27,mlp.down_proj,5120,80,1.4837327003479004,3.672231674194336,3.6769497394561768,19.07839012145996,3.7853620052337646,3.826652765274048,3.903653383255005,4.025310039520264,4.2453813552856445,5.195312228127774,3.939002513885498,0.019449220970273018,18,0.003515625,3,0.0005859375,2,0.000390625,2,0.000390625,2,0.000390625,0,0.0,0,0.0
model.layers.27.self_attn.o_proj,27,self_attn.o_proj,5120,80,1.0791822671890259,1.6230735778808594,1.649839997291565,11.00970458984375,1.863350510597229,1.9459083080291748,2.071739435195923,2.1678884029388428,2.2783353328704834,6.78324429642826,2.1138319969177246,0.022876273840665817,252,0.04921875,8,0.0015625,2,0.000390625,2,0.000390625,1,0.0001953125,0,0.0,0,0.0
model.layers.28.mlp.down_proj,28,mlp.down_proj,5120,80,1.3342647552490234,3.908377170562744,3.9066028594970703,25.32541847229004,4.029192924499512,4.0710930824279785,4.146912097930908,4.338094711303711,4.596004486083984,6.479778528806518,4.1762824058532715,0.01996518298983574,21,0.0041015625,2,0.000390625,2,0.000390625,2,0.000390625,2,0.000390625,0,0.0,0,0.0
model.layers.28.self_attn.o_proj,28,self_attn.o_proj,5120,80,1.0749232769012451,1.7802433967590332,1.8194242715835571,18.41520118713379,2.013540267944336,2.1254470348358154,2.3176934719085693,2.469312906265259,2.6559979915618896,10.344204180540151,2.3796868324279785,0.025884486734867096,243,0.0474609375,24,0.0046875,3,0.0005859375,3,0.0005859375,3,0.0005859375,1,0.0001953125,0,0.0
model.layers.29.mlp.down_proj,29,mlp.down_proj,5120,80,1.552815556526184,4.1151227951049805,4.088608741760254,27.321308135986328,4.256913185119629,4.30518102645874,4.370932579040527,4.419698238372803,4.473635196685791,6.639244925688624,4.393369197845459,0.019275115802884102,5,0.0009765625,3,0.0005859375,2,0.000390625,2,0.000390625,2,0.000390625,0,0.0,0,0.0
model.layers.29.self_attn.o_proj,29,self_attn.o_proj,5120,80,1.2582180500030518,1.6287592649459839,1.6925485134124756,20.686931610107422,1.875799536705017,2.140110969543457,2.5611867904663086,2.683364152908325,2.8217685222625732,12.701036952071295,2.6159701347351074,0.02911430224776268,417,0.0814453125,138,0.026953125,3,0.0005859375,2,0.000390625,2,0.000390625,2,0.000390625,0,0.0
